id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_jagung,satuan,tahun
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,173214,TON,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2726,TON,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,1714,TON,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,6907,TON,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2718,TON,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,9,TON,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,26291,TON,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3894,TON,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2019
128,32,JAWA BARAT,3272,KOTA SUKABUMI,236,TON,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,90,TON,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,30,TON,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,12,TON,2019
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,254,TON,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,1772,TON,2019
